"song_key","total_ms_played","total_minutes_played","total_hours_played","play_count"
"Lil Uzi Vert - The Way Life Goes (feat. Oh Wonder)","95632863","1593.88105","26.564684166666662","820"
"The Weeknd - Is There Someone Else?","92215334","1536.9222333333332","25.61537055555555","820"
"Darkoo - Gangsta","87702397","1461.7066166666666","24.361776944444443","764"
"Tory Lanez - The Color Violet","87085076","1451.4179333333334","24.19029888888889","820"
"Lil Uzi Vert - 20 Min","85570382","1426.1730333333333","23.76955055555555","880"
"Daniel Caesar - Get You (feat. Kali Uchis)","81053700","1350.895","22.514916666666668","659"
"Rushy - Hi! Bye!","80543176","1342.3862666666666","22.373104444444444","959"
"The Notorious B.I.G. - Hypnotize - 2014 Remaster","77211615","1286.86025","21.447670833333333","631"
"Kendrick Lamar - Money Trees","76859407","1280.9901166666666","21.34983527777778","658"
"Rosa Walton - I Really Want to Stay at Your House","75362645","1256.0440833333334","20.934068055555556","542"
"DEAN - love","75305486","1255.0914333333333","20.918190555555555","824"
"A$AP Rocky - Praise The Lord (Da Shine) (feat. Skepta)","69648012","1160.8002","19.34667","915"
"JAY1 - Flex (feat. JB Scofield)","65731572","1095.5262","18.25877","681"
"Lil Uzi Vert - XO Tour Llif3","65599001","1093.3166833333332","18.221944722222226","771"
"BlackMayo - Jus' Know","63766182","1062.7697","17.712828333333334","696"
"Don Toliver - No Idea","60205367","1003.4227833333332","16.723713055555557","812"
"Khalid - 8TEEN","55343757","922.39595","15.373265833333331","537"
"J. Cole - No Role Modelz","54904582","915.0763666666668","15.251272777777778","559"
"Travis Scott - SICKO MODE","53933117","898.8852833333333","14.981421388888888","499"
"Travis Scott - HIGHEST IN THE ROOM","53151811","885.8635166666667","14.764391944444444","697"
"NAV - Wanted You (feat. Lil Uzi Vert)","52309074","871.8179","14.530298333333333","417"
"Don Toliver - No Pole","49972446","832.8741","13.881235","487"
"Sam Wise - How It Feels","48892022","814.8670333333333","13.581117222222222","505"
"Doja Cat - Say So","48400554","806.6759","13.444598333333332","331"
"Lil Uzi Vert - 444+222","48118771","801.9795166666667","13.366325277777776","435"
"Migos - Stir Fry","46806772","780.1128666666667","13.001881111111112","665"
"Arctic Monkeys - No. 1 Party Anthem","46567696","776.1282666666667","12.935471111111111","258"
"Lil Uzi Vert - Yessirskiii","46247437","770.7906166666667","12.846510277777778","439"
"WILLOW - Wait a Minute!","46078092","767.9682","12.79947","650"
"PARTYNEXTDOOR - Break from Toronto","45654164","760.9027333333333","12.681712222222222","984"
"Lil Tecca - Ransom (with Juice WRLD) - Remix","45503158","758.3859666666667","12.639766111111111","477"
"Metro Boomin - Too Many Nights (feat. Don Toliver & with Future)","45332851","755.5475166666666","12.59245861111111","478"
"Drake - Way 2 Sexy (with Future & Young Thug)","45236258","753.9376333333333","12.565627222222222","326"
"Gesaffelstein - Lost in the Fire (feat. The Weeknd)","44833841","747.2306833333333","12.453844722222222","312"
"Arizona Zervas - ROXANNE","44762386","746.0397666666667","12.43399611111111","428"
"Mobb Deep - Shook Ones, Pt. II","44743328","745.7221333333333","12.428702222222222","439"
"88rising - History","44589464","743.1577333333333","12.385962222222222","598"
"USHER - Hey Daddy (Daddy's Home)","43718030","728.6338333333333","12.143897222222222","345"
"Roddy Ricch - The Box","43325532","722.0922","12.034870000000002","429"
"ODIE - North Face","43021617","717.02695","11.950449166666669","558"
"Teriyaki Boyz - Tokyo Drift (Fast & Furious) - From """"The Fast And The Furious: Tokyo Drift"""" Soundtrack","42962737","716.0456166666667","11.934093611111113","301"
"LAST ALLIANCE - HEKIREKI","42766717","712.7786166666667","11.879643611111112","285"
"Nelly Furtado - Promiscuous","42213094","703.5515666666666","11.725859444444444","307"
"Yellow Claw - Love & War - Yellow Claw G-Funk Remix","42060667","701.0111166666667","11.683518611111111","363"
"21 Savage - a lot","41604647","693.4107833333334","11.55684638888889","439"
"Block B - BASTARZ - From Seoul","41551832","692.5305333333333","11.542175555555556","666"
"WSTRN - In2 (feat. Wretch 32, Chip & Geko) - Remix","41321293","688.6882166666667","11.478136944444444","337"
"Modjo - Lady - Hear Me Tonight","41119240","685.3206666666666","11.422011111111113","447"
"Sik-K - iffy (Prod. GroovyRoom)","40971339","682.85565","11.3809275","654"
"Joey Bada$$ - DEVASTATED","40783132","679.7188666666667","11.328647777777778","681"
"The Weeknd - Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","40745656","679.0942666666666","11.318237777777776","513"
"Pi’erre Bourne - Drunk And Nasty (feat. Sharc)","40590969","676.51615","11.275269166666668","334"
"Lucky Daye - Late Night","40560502","676.0083666666667","11.266806111111112","484"
"Khalid - Talk (feat. Disclosure)","40522627","675.3771166666667","11.256285277777778","515"
"Childish Gambino - 3005","40397455","673.2909166666667","11.221515277777778","587"
"Frank Ocean - Thinkin Bout You","39958041","665.96735","11.099455833333334","694"
"NLE Choppa - Camelot","39900176","665.0029333333333","11.08338222222222","394"
"Tame Impala - Borderline","39342265","655.7044166666667","10.928406944444443","496"
"Jay Park - Me Like Yuh","39227691","653.79485","10.896580833333331","508"
"Young Slo-Be - I Love You","39007127","650.1187833333333","10.835313055555556","424"
"Trippie Redd - Miss The Rage (feat. Playboi Carti)","38505113","641.7518833333334","10.695864722222222","260"
"Trippie Redd - Love Sick","38288949","638.14915","10.635819166666666","344"
"The Weeknd - Reminder","38119406","635.3234333333334","10.58872388888889","417"
"Daniel Caesar - Best Part (feat. H.E.R.)","37975041","632.91735","10.5486225","465"
"Kendrick Lamar - LOVE. FEAT. ZACARI.","37312307","621.8717833333334","10.364529722222224","676"
"Quality Control - Leave Em Alone","37106254","618.4375666666666","10.307292777777777","288"
"Frank Ocean - Ivy","36728567","612.1427833333333","10.202379722222222","360"
"Tame Impala - The Less I Know The Better","36547136","609.1189333333333","10.15198222222222","508"
"Chris Brown - Loyal (feat. Lil Wayne & Tyga)","36470103","607.83505","10.130584166666669","340"
